Feature,Value,Model,Subject,Sensor
wrist_acc_min,1.0136397790302554,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_perc75,0.9282560163974087,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_mad,0.9008481096158576,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_min,0.41757747098547143,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_std,0.228145182164534,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_max,0.18276231372420212,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_max,0.012014505055085459,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_length,0.0004283905029069631,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_time,8.094252467086862e-08,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_length,0.00032802062857791866,HuberRegressor(),1,wrist
wrist_jerk_perc75,4.3904951815147183e-07,HuberRegressor(),1,wrist
wrist_jerk_med,3.611246653021107e-07,HuberRegressor(),1,wrist
wrist_jerk_mean,2.793028904570819e-07,HuberRegressor(),1,wrist
wrist_jerk_rms,2.4070799269420016e-07,HuberRegressor(),1,wrist
wrist_jerk_max,1.5784262479384582e-07,HuberRegressor(),1,wrist
wrist_jerk_perc25,1.411914017007329e-07,HuberRegressor(),1,wrist
wrist_jerk_mad,8.254983779645816e-08,HuberRegressor(),1,wrist
wrist_jerk_std,7.11877516810182e-08,HuberRegressor(),1,wrist
wrist_acc_max,2.7679294790605753e-08,HuberRegressor(),1,wrist
wrist_acc_perc75,1.2021104986417967e-08,HuberRegressor(),1,wrist
wrist_acc_perc25,1.0367532299995295e-08,HuberRegressor(),1,wrist
wrist_acc_mad,8.656152009470757e-09,HuberRegressor(),1,wrist
wrist_acc_min,7.742713801244922e-09,HuberRegressor(),1,wrist
wrist_acc_std,7.413093650684792e-09,HuberRegressor(),1,wrist
wrist_acc_rms,3.5599942036054883e-09,HuberRegressor(),1,wrist
wrist_jerk_min,3.545406624783214e-09,HuberRegressor(),1,wrist
wrist_acc_med,3.4448538871216918e-09,HuberRegressor(),1,wrist
wrist_acc_mean,2.07929341046174e-09,HuberRegressor(),1,wrist
wrist_acc_time,1.2785908580107331e-09,HuberRegressor(),1,wrist
error,0,DummyRegressor(),1,wrist
wrist_acc_time,6.127512109896796e-11,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_length,6.175733719939872e-13,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_perc75,8.357854638665131e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_med,7.224795319979469e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_mean,5.392084252395018e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_rms,4.516748769156017e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_perc25,2.8147840040034344e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_mad,1.4394812809790302e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_std,1.1860212203233984e-16,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_max,8.492371302845945e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_max,5.54811005875472e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_perc75,2.3715149617542744e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_perc25,2.0330126746160615e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_mad,1.6665093008356023e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_min,1.4631452384025038e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_std,1.426738898014524e-17,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_med,6.880336889734438e-18,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_rms,6.8762543377420285e-18,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_jerk_min,6.086579146004144e-18,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_mean,3.967761908051419e-18,PassiveAggressiveRegressor(random_state=8944),1,wrist
wrist_acc_rms,494.3515347541034,Lars(random_state=8944),1,wrist
wrist_acc_mean,449.1962337967026,Lars(random_state=8944),1,wrist
wrist_acc_std,108.83014406729062,Lars(random_state=8944),1,wrist
wrist_acc_mad,47.36932130038047,Lars(random_state=8944),1,wrist
wrist_acc_med,44.303784486621964,Lars(random_state=8944),1,wrist
