Feature,Value,Model,Subject
trunk_acc_med,0.19197040311138355,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_perc25,0.08010842241316743,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_perc25,0.04769484504089729,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_med,0.02424785340920953,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_mad,0.022318566421288565,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_rms,0.021217768439413694,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_std,0.02088619790719031,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_mean,0.01611604457836042,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_length,0.013566974905150114,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_perc75,0.012138879164552948,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_min,0.011998086377192319,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_med,0.01135812094623714,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_std,0.010878630669494113,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_perc25,0.007434310408354898,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_perc75,0.007432352234500127,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_max,0.00713206689279832,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_mean,0.007098910408374197,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_min,0.006783423423145846,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_mean,0.006487152166389589,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_med,0.006287858672187222,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_max,0.005730801617472645,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_std,0.0051762005346145615,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_perc75,0.00515893826327546,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_min,0.004991375119539194,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
