Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.0043,3.4239,1.8437,0.4007,0.5729,0.3754,3.432,"(2, 4, 6)"
Decision Tree Regressor,1.1454,4.0859,2.0012,0.3251,0.6065,0.4079,3.385,"(2, 4, 8)"
Decision Tree Regressor,0.9318,3.1358,1.7539,0.4828,0.535,0.3302,3.394,"(2, 4, 9)"
Decision Tree Regressor,1.0885,3.8706,1.9531,0.4168,0.591,0.3715,3.398,"(2, 4, 10)"
Decision Tree Regressor,1.0018,3.5564,1.869,0.4452,0.5839,0.3735,3.39,"(2, 4, 12)"
Decision Tree Regressor,1.0427,3.5989,1.8866,0.3999,0.5752,0.4192,3.389,"(2, 4, 13)"
Decision Tree Regressor,1.177,4.5243,2.1123,0.2702,0.6148,0.3918,3.401,"(2, 4, 15)"
Decision Tree Regressor,1.0019,3.1239,1.7533,0.477,0.5655,0.3833,3.388,"(2, 4, 16)"
Decision Tree Regressor,0.9296,3.0147,1.7162,0.5478,0.5481,0.3318,3.395,"(2, 4, 17)"
Decision Tree Regressor,0.9951,3.2387,1.7952,0.4306,0.5552,0.3399,3.69,"(2, 5, 6)"
Decision Tree Regressor,1.003,3.1484,1.7679,0.4609,0.5457,0.368,3.427,"(2, 5, 8)"
Decision Tree Regressor,0.9732,3.1812,1.7708,0.4659,0.5501,0.3383,3.41,"(2, 5, 9)"
Decision Tree Regressor,1.0489,3.4528,1.8516,0.4539,0.5776,0.3772,3.41,"(2, 5, 10)"
Decision Tree Regressor,1.1788,3.9709,1.9807,0.3629,0.5991,0.4235,3.398,"(2, 5, 12)"
Decision Tree Regressor,0.8455,2.6776,1.6157,0.5413,0.5138,0.301,3.387,"(2, 5, 13)"
Decision Tree Regressor,1.293,5.1918,2.2631,0.1002,0.6641,0.4604,3.423,"(2, 5, 15)"
Decision Tree Regressor,1.0411,3.5828,1.8723,0.3905,0.5727,0.3708,4.206,"(2, 5, 16)"
Decision Tree Regressor,1.148,4.0974,2.0131,0.3389,0.6019,0.3979,3.446,"(2, 5, 17)"
Decision Tree Regressor,0.9073,2.8,1.6685,0.4894,0.5427,0.3533,3.401,"(2, 6, 8)"
Decision Tree Regressor,0.8652,2.6142,1.5927,0.4966,0.5101,0.3199,3.389,"(2, 6, 9)"
Decision Tree Regressor,1.028,3.6675,1.8942,0.4045,0.5856,0.3719,3.553,"(2, 6, 10)"
Decision Tree Regressor,1.0779,3.4399,1.8423,0.3699,0.585,0.4322,3.391,"(2, 6, 12)"
Decision Tree Regressor,0.7838,2.2637,1.4801,0.5668,0.5011,0.3142,3.387,"(2, 6, 13)"
Decision Tree Regressor,0.9162,2.8014,1.6656,0.4811,0.5462,0.3237,3.384,"(2, 6, 15)"
Decision Tree Regressor,0.9432,2.6881,1.6259,0.4975,0.5457,0.3919,3.409,"(2, 6, 16)"
Decision Tree Regressor,0.9146,2.8673,1.6908,0.5019,0.5359,0.3612,3.416,"(2, 6, 17)"
Decision Tree Regressor,1.1439,4.145,2.0272,0.2774,0.6087,0.4078,3.396,"(2, 8, 9)"
Decision Tree Regressor,1.0166,3.3796,1.8326,0.4754,0.5612,0.3856,3.392,"(2, 8, 10)"
Decision Tree Regressor,1.1734,4.4578,2.0891,0.2798,0.6155,0.4436,3.399,"(2, 8, 12)"
Decision Tree Regressor,0.9124,2.7043,1.636,0.5411,0.5252,0.3817,3.411,"(2, 8, 13)"
Decision Tree Regressor,1.0908,3.5566,1.8792,0.4037,0.6178,0.3701,3.388,"(2, 8, 15)"
Decision Tree Regressor,1.1697,4.3129,2.0723,0.2526,0.6118,0.4427,3.403,"(2, 8, 16)"
Decision Tree Regressor,0.8791,2.7904,1.6503,0.5634,0.5303,0.3207,3.387,"(2, 8, 17)"
Decision Tree Regressor,1.1091,3.785,1.9388,0.385,0.5829,0.4171,3.525,"(2, 9, 10)"
Decision Tree Regressor,1.0761,3.9789,1.9708,0.3714,0.5842,0.3934,3.517,"(2, 9, 12)"
Decision Tree Regressor,0.8861,2.9049,1.6867,0.4692,0.5266,0.3458,3.392,"(2, 9, 13)"
Decision Tree Regressor,1.0341,3.6235,1.8895,0.3639,0.566,0.3772,3.382,"(2, 9, 15)"
Decision Tree Regressor,0.8323,2.5181,1.5704,0.5498,0.4955,0.3267,3.367,"(2, 9, 16)"
Decision Tree Regressor,1.071,3.6479,1.8997,0.3919,0.5873,0.407,3.384,"(2, 9, 17)"
Decision Tree Regressor,1.176,4.305,2.0609,0.3542,0.6014,0.42,3.363,"(2, 10, 12)"
Decision Tree Regressor,0.9161,3.0023,1.6994,0.5071,0.5431,0.3387,3.372,"(2, 10, 13)"
