Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9743,3.3581,1.8224,0.4537,0.5714,0.3311,4.215,"(2, 4, 15)"
Decision Tree Regressor,1.2266,4.312,2.068,0.2789,0.6297,0.4649,4.224,"(2, 4, 16)"
Decision Tree Regressor,0.9976,3.3689,1.8239,0.4746,0.5718,0.3422,4.219,"(2, 4, 17)"
Decision Tree Regressor,0.9171,2.8731,1.6877,0.4852,0.5366,0.3491,4.239,"(2, 5, 6)"
Decision Tree Regressor,1.058,3.6937,1.9116,0.4104,0.5716,0.3623,4.226,"(2, 5, 8)"
Decision Tree Regressor,1.0542,3.6582,1.9009,0.3663,0.5795,0.3758,4.234,"(2, 5, 9)"
Decision Tree Regressor,1.2043,4.1234,2.0241,0.3685,0.647,0.4215,4.224,"(2, 5, 10)"
Decision Tree Regressor,1.1815,4.3086,2.0678,0.3188,0.6107,0.4109,4.235,"(2, 5, 12)"
Decision Tree Regressor,0.8423,2.5808,1.5999,0.5518,0.5248,0.3109,4.238,"(2, 5, 13)"
Decision Tree Regressor,1.0503,3.6969,1.919,0.386,0.5935,0.345,4.258,"(2, 5, 15)"
Decision Tree Regressor,0.9698,3.0529,1.7367,0.4623,0.5537,0.3409,4.25,"(2, 5, 16)"
Decision Tree Regressor,1.1603,4.2356,2.0506,0.3216,0.6275,0.3904,4.217,"(2, 5, 17)"
Decision Tree Regressor,1.124,3.7576,1.9233,0.3547,0.6094,0.4307,4.214,"(2, 6, 8)"
Decision Tree Regressor,0.9117,2.8274,1.6663,0.4597,0.5287,0.3535,4.224,"(2, 6, 9)"
Decision Tree Regressor,1.0567,3.6592,1.9067,0.3758,0.5924,0.3905,4.176,"(2, 6, 10)"
Decision Tree Regressor,1.0433,3.756,1.9352,0.3409,0.5901,0.3714,4.221,"(2, 6, 12)"
Decision Tree Regressor,0.7662,2.2363,1.4907,0.5811,0.4813,0.306,4.212,"(2, 6, 13)"
Decision Tree Regressor,1.0323,3.4471,1.8484,0.3624,0.5982,0.3675,4.527,"(2, 6, 15)"
Decision Tree Regressor,0.8974,2.6277,1.6174,0.5017,0.5378,0.3656,4.207,"(2, 6, 16)"
Decision Tree Regressor,0.8435,2.5655,1.5935,0.5624,0.5274,0.3203,4.217,"(2, 6, 17)"
Decision Tree Regressor,1.0491,3.5981,1.8908,0.4019,0.5898,0.3704,4.224,"(2, 8, 9)"
Decision Tree Regressor,1.032,3.5156,1.8544,0.4378,0.5892,0.3598,4.231,"(2, 8, 10)"
Decision Tree Regressor,1.1671,4.1131,2.0107,0.3419,0.6072,0.4459,4.229,"(2, 8, 12)"
Decision Tree Regressor,0.9451,3.0434,1.7174,0.4745,0.5475,0.361,4.24,"(2, 8, 13)"
Decision Tree Regressor,1.0881,3.6015,1.8935,0.4217,0.5943,0.4067,4.289,"(2, 8, 15)"
Decision Tree Regressor,0.9988,3.3131,1.7642,0.4455,0.5538,0.3975,4.264,"(2, 8, 16)"
Decision Tree Regressor,0.9522,3.1636,1.7684,0.4809,0.5582,0.3563,4.214,"(2, 8, 17)"
Decision Tree Regressor,1.1581,4.2708,2.0463,0.3293,0.615,0.3945,4.237,"(2, 9, 10)"
Decision Tree Regressor,1.186,4.4576,2.107,0.2573,0.6351,0.4334,4.129,"(2, 9, 12)"
Decision Tree Regressor,0.8654,2.7399,1.6447,0.4688,0.5247,0.3426,4.238,"(2, 9, 13)"
Decision Tree Regressor,0.9206,3.0156,1.7259,0.4914,0.5729,0.3181,4.221,"(2, 9, 15)"
Decision Tree Regressor,0.9072,3.0508,1.7342,0.4278,0.5459,0.3303,4.255,"(2, 9, 16)"
Decision Tree Regressor,1.0732,3.9256,1.9721,0.3408,0.6168,0.361,4.233,"(2, 9, 17)"
Decision Tree Regressor,1.1601,4.1933,2.0316,0.3653,0.6503,0.4261,4.214,"(2, 10, 12)"
Decision Tree Regressor,1.1997,4.3342,2.0705,0.2873,0.6378,0.4714,4.242,"(2, 10, 13)"
Decision Tree Regressor,1.0637,3.7134,1.9222,0.4424,0.5775,0.3753,4.216,"(2, 10, 15)"
Decision Tree Regressor,1.0862,3.7464,1.9298,0.4008,0.6039,0.3761,4.236,"(2, 10, 16)"
Decision Tree Regressor,1.2039,4.4693,2.109,0.3443,0.6322,0.4327,4.393,"(2, 10, 17)"
Decision Tree Regressor,0.8136,2.4981,1.5666,0.5665,0.4879,0.3468,4.213,"(2, 12, 13)"
Decision Tree Regressor,1.1402,4.0192,1.9919,0.3628,0.6032,0.4415,4.222,"(2, 12, 15)"
Decision Tree Regressor,1.1406,3.8564,1.9573,0.3605,0.615,0.4664,4.223,"(2, 12, 16)"
Decision Tree Regressor,1.0953,3.9447,1.9775,0.3891,0.5856,0.4345,4.209,"(2, 12, 17)"
Decision Tree Regressor,0.9333,2.9604,1.7049,0.4714,0.5519,0.3534,4.22,"(2, 13, 15)"
Decision Tree Regressor,0.9167,2.9054,1.6908,0.4568,0.5408,0.386,4.216,"(2, 13, 16)"
Decision Tree Regressor,1.0097,3.6381,1.8919,0.3995,0.5753,0.4087,4.214,"(2, 13, 17)"
Decision Tree Regressor,0.9961,3.3588,1.8278,0.4138,0.574,0.3914,4.202,"(2, 15, 16)"
