Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.2035,4.1783,2.0363,0.2851,0.6216,0.4065,3.14,"(5,)"
Decision Tree Regressor,0.9096,2.7086,1.6356,0.5156,0.5316,0.3419,3.119,"(6,)"
Decision Tree Regressor,1.095,3.8252,1.9299,0.3653,0.5849,0.4106,3.119,"(8,)"
Decision Tree Regressor,0.9929,3.3017,1.8123,0.4441,0.5649,0.3449,3.261,"(9,)"
Decision Tree Regressor,1.1125,4.1975,2.0283,0.3587,0.6157,0.3933,3.133,"(10,)"
Decision Tree Regressor,0.9641,3.198,1.7854,0.4812,0.5703,0.364,3.143,"(12,)"
Decision Tree Regressor,1.088,3.6339,1.8953,0.3672,0.5871,0.4267,3.148,"(13,)"
Decision Tree Regressor,0.9512,3.1824,1.7466,0.4868,0.5431,0.3471,3.147,"(15,)"
Decision Tree Regressor,1.1556,4.1778,2.0246,0.299,0.6201,0.3907,3.151,"(16,)"
Decision Tree Regressor,0.8306,2.5377,1.5788,0.5865,0.4935,0.325,3.156,"(17,)"
Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9146,2.825,1.6695,0.485,0.5399,0.3328,3.302,"(1, 2, 3)"
Decision Tree Regressor,1.0797,3.7455,1.9199,0.4044,0.5899,0.3691,3.315,"(1, 2, 4)"
Decision Tree Regressor,1.2032,4.2057,2.039,0.3266,0.6278,0.424,3.324,"(1, 2, 5)"
Decision Tree Regressor,0.9312,2.9537,1.7086,0.4766,0.543,0.3387,3.308,"(1, 2, 6)"
Decision Tree Regressor,0.9762,3.1299,1.7608,0.5024,0.5587,0.3469,3.31,"(1, 2, 8)"
Decision Tree Regressor,1.0637,3.4645,1.8501,0.4133,0.5727,0.3783,3.298,"(1, 2, 9)"
Decision Tree Regressor,1.2587,4.8098,2.177,0.2702,0.6461,0.4062,3.377,"(1, 2, 10)"
Decision Tree Regressor,0.9426,3.1344,1.7517,0.5019,0.5465,0.3365,3.273,"(1, 2, 12)"
Decision Tree Regressor,0.8597,2.6753,1.6174,0.5536,0.5202,0.3497,3.335,"(1, 2, 13)"
Decision Tree Regressor,0.9136,3.1426,1.7643,0.4953,0.5288,0.3172,3.318,"(1, 2, 15)"
Decision Tree Regressor,0.9478,3.2036,1.7763,0.4755,0.5543,0.3469,3.33,"(1, 2, 16)"
Decision Tree Regressor,1.0293,3.6641,1.9008,0.4526,0.5777,0.3369,3.354,"(1, 2, 17)"
Decision Tree Regressor,0.9373,3.1145,1.7537,0.452,0.5462,0.3284,3.333,"(1, 3, 4)"
Decision Tree Regressor,1.0478,3.5634,1.8773,0.3572,0.5766,0.3339,3.329,"(1, 3, 5)"
Decision Tree Regressor,0.8503,2.5718,1.5885,0.5131,0.5238,0.3234,3.298,"(1, 3, 6)"
Decision Tree Regressor,0.959,3.1732,1.7659,0.4448,0.5371,0.3405,3.259,"(1, 3, 8)"
Decision Tree Regressor,0.9359,2.971,1.711,0.4515,0.5331,0.3488,3.231,"(1, 3, 9)"
Decision Tree Regressor,1.0742,3.7033,1.916,0.3845,0.5761,0.356,3.234,"(1, 3, 10)"
Decision Tree Regressor,1.0057,3.4512,1.8391,0.4335,0.5756,0.3599,3.235,"(1, 3, 12)"
Decision Tree Regressor,0.7342,2.1102,1.4489,0.5967,0.4781,0.29,3.24,"(1, 3, 13)"
Decision Tree Regressor,0.9016,2.8703,1.6765,0.5006,0.5203,0.3077,3.243,"(1, 3, 15)"
Decision Tree Regressor,0.844,2.6339,1.6062,0.5127,0.516,0.3105,3.328,"(1, 3, 16)"
Decision Tree Regressor,0.9724,3.3892,1.8148,0.4383,0.5533,0.3212,3.298,"(1, 3, 17)"
Decision Tree Regressor,1.1506,4.0058,1.9917,0.3713,0.6092,0.3687,3.236,"(1, 4, 5)"
Decision Tree Regressor,0.9713,3.0862,1.7479,0.4905,0.5353,0.3578,3.269,"(1, 4, 6)"
Decision Tree Regressor,1.0859,3.7558,1.9296,0.4161,0.5876,0.377,3.352,"(1, 4, 8)"
Decision Tree Regressor,1.1327,4.011,1.9858,0.356,0.5813,0.3781,3.279,"(1, 4, 9)"
Decision Tree Regressor,1.1495,4.2853,2.0565,0.3591,0.6175,0.3635,3.262,"(1, 4, 10)"
Decision Tree Regressor,1.0299,3.5678,1.8627,0.4637,0.5607,0.3614,3.261,"(1, 4, 12)"
Decision Tree Regressor,0.9502,3.0418,1.7323,0.4976,0.555,0.3606,3.276,"(1, 4, 13)"
Decision Tree Regressor,0.9687,3.3955,1.8191,0.4563,0.5615,0.3146,3.257,"(1, 4, 15)"
Decision Tree Regressor,0.8873,2.7806,1.66,0.5525,0.5247,0.2916,3.232,"(1, 4, 16)"
Decision Tree Regressor,1.1285,3.8931,1.9636,0.4203,0.5797,0.3681,3.339,"(1, 4, 17)"
Decision Tree Regressor,1.0428,3.3013,1.8085,0.4151,0.5847,0.3722,3.33,"(1, 5, 6)"
Decision Tree Regressor,1.1997,4.0873,2.0151,0.3463,0.6066,0.3982,3.325,"(1, 5, 8)"
Decision Tree Regressor,1.0249,3.4289,1.8439,0.4308,0.5714,0.3364,3.275,"(1, 5, 9)"
Decision Tree Regressor,1.3521,4.793,2.1716,0.226,0.6565,0.4176,3.315,"(1, 5, 10)"
Decision Tree Regressor,1.3137,4.7485,2.1729,0.2515,0.6455,0.4649,3.328,"(1, 5, 12)"
Decision Tree Regressor,0.8975,2.652,1.6234,0.5377,0.5061,0.3042,3.316,"(1, 5, 13)"
